name,pincode,address,phone,email,url,country,state,city,star_count,price,category_name,Descriptions
SKYZ EVENTS,380015,"H-6 Sanskar Appartment, Shyamprashad Mukharji Overbridge, Shyamal, Ahmedabad, Gujarat 380015, India",+91 97240 78841,skyz_events@yahoo.com,http://www.skyzevents.com/,India,Gujarat,Ahmedabad,4.9,5000,Venue,"Offers 15000 sq ft pillarless banquet hall, in-house lighting team, 3D projection mapping, themed decor packages, capacity up to 1000 guests, valet parking, dedicated AV team."
Food-n-Food (one of best caterers in nagpur),440017,"1015 Buddha Nagar Behind Inox Jaswant Tuli Mall, near Kalgidhar Gurudwara, Nagpur, Maharashtra 440017, India",+91 89832 02110,contact@foodnfood.online,https://www.foodnfood.online/,India,Maharashtra,Nagpur,4.3,4346,Venue,"Features 3 banquet halls (200-500 pax each), outdoor lawn space, customizable lighting, separate dining area, bridal room, dedicated parking for 100 vehicles."
Ibaana Catering Service contactor (Veg & Non - Veg),607106,"No. 11, near Panuti ITI, AP Sivaraman Nagar, Panruti, Tamil Nadu 607106, India",+91 96291 63502,smb_web@support.whatsapp.com,http://wa.me/+919629163502,India,Tamil Nadu,Panruti,5,40000,Caterers,"Specializes in Chettinad cuisine, seafood specialties, live dosa counter, 24-hour advance booking, minimum order 50 plates, signature dishes include prawn biryani and fish curry."
Bunchi's,201002,"Sector 11, Raj Nagar, Ghaziabad, Uttar Pradesh 201002, India",+91 85880 50215,filler@godaddy.com,http://www.bunchis.com/,India,Uttar Pradesh,Kanpur,5,8000,Venue,"Two air-conditioned halls (300 & 500 pax), rooftop garden setup, dedicated entrance for baraat, in-house sound system, power backup, complimentary changing rooms."
Shiv Sagar Caterers & Mandap Decorator,401105,"Shop No. 2, Jai Sai Bhoomi Bldg, New Golden Nest Rd, Bhayandar, Mumbai, Maharashtra 401105, India",+91 98207 69628,filler@godaddy.com,http://www.shivsagarcatering.com/,India,Maharashtra,Mumbai,4.8,60000,Caterers,"Expert in Maharashtrian thali, live food counters (pav bhaji, chaat, pizza), specialized in Malvani cuisine, eco-friendly packaging, minimum booking 100 plates."
Bismi wedding catering service,600011,"83, Paper Mills Road, next to Venus park, Sembiyan, Perambur, Chennai, Tamil Nadu 600011, India",+91 99620 99785,bismibiriyaniperambur@gmail.com,http://www.bismicaterersperambur.com/,India,Tamil Nadu,Chennai,4.9,12222,Caterers,"Famous for Thalappakatti-style biryani, 7 varieties of payasam, live appam counter, traditional banana leaf setup, VIP dining arrangements, bulk orders accepted."
FLAMBE Events & Hospitality,411015,"Shop No. 2, Om Sai Building, Dhanori - Tingre Nagar Rd, Sudam Nagar, Gokul Nagar, Munjaba Vasti, Dhanori, Pune, Maharashtra 411015, India",+91 73859 28948,info@flambeevents.com,https://flambeevents.com/,India,Maharashtra,Pune,4.4,50000,Caterers,"International cuisine experts, molecular gastronomy options, themed food stations, butler service available, wine pairing expertise, customized menu cards."
FLAMBE Events & Hospitality,226002,"Sector 2A, near Medanta, Golf City, Bagiamau, Lucknow, Uttar Pradesh 226002, India",+91 73859 28948,info@flambeevents.com,https://flambeevents.com/,India,Uttar Pradesh,Kanpur,5,9888,Venue,"Offers 25000 sq ft lawn, colonial-style indoor hall, dedicated stage area, green rooms, premium washrooms, ample parking space, in-house decor team."
Chilleta Foods Private Limited,600053,"Chilleta Foods Private Limited, no:14, Karukku Main Rd, Devanampattu, Sittu Oragadam, Ambattur, Chennai, Tamil Nadu 600053, India",+91 99400 93393,contactus@chilleta.com,https://chilleta.com/,India,Tamil Nadu,Chennai,3.7,45445,Makeup,"HD makeup services, airbrush techniques, celebrity makeup artists, pre-bridal packages, group booking discounts, traditional and modern styling options."
Swaad Bhavan Catering By SBHPL,400055,"4, Karamyogi Ind Estate, Shivaki Nagar, nr. Grand Hyatt, Santacruz East, Mumbai, Maharashtra 400055, India",+91 87792 45151,info@swaadbhavan.com,https://swaadbhavan.com/,India,Maharashtra,Mumbai,4.5,6344,Venue,"20000 sq ft air-conditioned hall, seaside view, separate cocktail area, bridal suite, valet parking, dedicated elevator, state-of-art AV system."
SKYZ EVENTS,380015,"H-6 Sanskar Appartment, Shyamprashad Mukharji Overbridge, Shyamal, Ahmedabad, Gujarat 380015, India",+91 97240 78841,skyz_events@yahoo.com,http://www.skyzevents.com/,India,Gujarat,Ahmedabad,4.8,30000,Caterers,"Specializes in Gujarati thali, Jain food options, live khakhra station, farsan counter, minimum 200 plates, signature dishes include undhiyu and khandvi."
SKYZ EVENTS,380015,"H-6 Sanskar Appartment, Shyamprashad Mukharji Overbridge, Shyamal, Ahmedabad, Gujarat 380015, India",+91 97240 78841,skyz_events@yahoo.com,http://www.skyzevents.com/,India,Gujarat,Ahmedabad,4.8,5000,Dj,"JBL sound system, 4K LED walls, synchronized lighting, smoke machines, 10000+ song collection, specialized wedding DJs, Bollywood and international music."
Food-n-Food (one of best caterers in nagpur),440017,"1015 Buddha Nagar Behind Inox Jaswant Tuli Mall, near Kalgidhar Gurudwara, Nagpur, Maharashtra 440017, India",+91 89832 02110,contact@foodnfood.online,https://www.foodnfood.online/,India,Maharashtra,Nagpur,4.5,43546,Caterers,"Signature Vidarbha cuisine, saoji specialties, live tandoor, 8 types of starters, bulk order discounts, hygiene certified kitchen, traditional spice blends."
Bunchi's,201002,"Sector 11, Raj Nagar, Ghaziabad, Uttar Pradesh 201002, India",+91 85880 50215,filler@godaddy.com,http://www.bunchis.com/,India,Uttar Pradesh,Kanpur,4.5,3000,Dj,"Pioneer DJ equipment, LED dance floor, karaoke system, dhol players available, specialized in sangeet events, customized playlists."
FLAMBE Events & Hospitality,411015,"Shop No. 2, Om Sai Building, Dhanori - Tingre Nagar Rd, Sudam Nagar, Gokul Nagar, Munjaba Vasti, Dhanori, Pune, Maharashtra 411015, India",+91 73859 28948,info@flambeevents.com,https://flambeevents.com/,India,Maharashtra,Pune,4.6,7000,Venue,"Modern banquet hall with LED walls, hydraulic stage, designer lighting, separate entrance for VIP guests, dedicated photo/video areas."
FLAMBE Events & Hospitality,226002,"Sector 2A, near Medanta, Golf City, Bagiamau, Lucknow, Uttar Pradesh 226002, India",+91 73859 28948,info@flambeevents.com,https://flambeevents.com/,India,Uttar Pradesh,Kanpur,5,18888,Makeup,"MAC and Kryolan products, specialized in HD makeup, waterproof techniques, hair styling, nail art, mehendi services, group packages available."
Chilleta Foods Private Limited,600053,"Chilleta Foods Private Limited, no:14, Karukku Main Rd, Devanampattu, Sittu Oragadam, Ambattur, Chennai, Tamil Nadu 600053, India",+91 99400 93393,contactus@chilleta.com,https://chilleta.com/,India,Tamil Nadu,Chennai,3.7,45445,Caterers,"South Indian wedding feast specialists, 12 varieties of rice dishes, live dosa counter, traditional brass vessels, pure ghee sweets, minimum 150 plates."
Chilleta Foods Private Limited,600053,"Chilleta Foods Private Limited, no:14, Karukku Main Rd, Devanampattu, Sittu Oragadam, Ambattur, Chennai, Tamil Nadu 600053, India",+91 99400 93393,contactus@chilleta.com,https://chilleta.com/,India,Tamil Nadu,Chennai,3.7,5445,Venue,"Contemporary venue with poolside area, garden space for 300 pax, built-in stage, dedicated kids area, ample parking space."
Swaad Bhavan Catering By SBHPL,400055,"4, Karamyogi Ind Estate, Shivaki Nagar, nr. Grand Hyatt, Santacruz East, Mumbai, Maharashtra 400055, India",+91 87792 45151,info@swaadbhavan.com,https://swaadbhavan.com/,India,Maharashtra,Mumbai,3.7,56344,Caterers,"Specializes in Mumbai street food counters, Konkani seafood, live pasta station, signature paan counter, corporate lunch boxes, bulk thali services."
Swaad Bhavan Catering By SBHPL,400055,"4, Karamyogi Ind Estate, Shivaki Nagar, nr. Grand Hyatt, Santacruz East, Mumbai, Maharashtra 400055, India",+91 87792 45151,info@swaadbhavan.com,https://swaadbhavan.com/,India,Maharashtra,Mumbai,4,6344,Dj,"Martin Audio setup, moving head lights, LED screens, fog machines, traditional & EDM mix specialists, coordination with sangeet choreographers."
